"","Name","Publisher","Puntajes Cr?ticos","Puntajes usuarios"
"1768","Unreal Championship","Atari","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1769","Crysis 2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1770","Tales of Vesperia","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1771","MLB 13: The Show","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1772","LEGO Marvel Super Heroes","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1773","Namco Museum Remix","Atari","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1774","Sword of Mana","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1775","Marvel: Ultimate Alliance 2","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1776","Dragon Age: Inquisition","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"1777","Resonance of Fate","Sega","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1778","Pirates of the Caribbean: At World's End","Disney Interactive Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1779","Tiger Woods PGA Tour 08","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1780","Classic NES Series: Donkey Kong","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"1781","Harvest Moon: Animal Parade","Rising Star Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1782","WWE SmackDown vs. Raw 2010","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1783","Style Savvy: Trendsetters","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1784","Final Fantasy XIII-2","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1785","Oddworld: Munch's Oddysee","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1786","Persona 4: Arena","Atlus","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1787","Brink","Bethesda Softworks","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1788","NHL 11","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1789","NCAA Football 07","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1790","Full Spectrum Warrior","THQ","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1791","LEGO Marvel's Avengers","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1792","Katamari Damacy","Namco Bandai Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1793","Just Dance 2015","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1794","LEGO Dimensions","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1795","Naruto Shippuden: Ultimate Ninja Storm Generations","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1796","Shaun Palmer's Pro Snowboarder","Codemasters","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1797","James Bond 007: Agent Under Fire","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1798","Harvest Moon DS: Island of Happiness","Rising Star Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1799","Star Wars Episode III: Revenge of the Sith","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1800","Ultimate Spider-Man","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1801","Monopoly Streets","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1802","Total War: Rome II","Sega","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1803","NBA Live 08","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1804","Star Ocean: The Last Hope International","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1805","Dead to Rights","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1806","Indiana Jones and the Staff of Kings","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1807","Tiger Woods PGA Tour 07","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1808","Major League Baseball 2K7","Spike","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1809","Persona Q: Shadow of the Labyrinth","Nippon Ichi Software","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1810","MLB 14: The Show","Sony Computer Entertainment America","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1811","X-Men: Mutant Academy 2","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1812","Kirby: Canvas Curse","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1813","Madden NFL 10","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1814","MLB 09: The Show","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1815","Borderlands: The Pre-Sequel","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1816","Madden NFL 11","Unknown","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1817","Super Monkey Ball Jr.","Atari","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1818","The Witcher 3: Wild Hunt","Namco Bandai Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1819","F1 2011","Codemasters","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1820","Mobile Suit Gundam: Encounters in Space","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1821","MLB 10: The Show","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1822","MX vs. ATV Reflex","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1823","Blur","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1824","Battlefield: Bad Company 2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1825","DiRT 3","Codemasters","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1826","The Lord of the Rings: The Two Towers","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1827","Madden NFL 2003","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1828","Skate","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1829","XCOM: Enemy Unknown","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1830","Ben 10: Protector of Earth","D3Publisher","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1831","Virtua Fighter 4: Evolution","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1832","Crysis","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1833","Resident Evil: Survivor","Eidos Interactive","Puntajes Cr?ticos bajo","Puntajes usuarios alto"
"1834","The Sims 2: Castaway","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"1835","Godzilla: Destroy All Monsters Melee","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1836","Silent Hill 3","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1837","Spyro: Enter the Dragonfly","Universal Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"1838","Power Rangers: Dino Thunder","THQ","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1839","Madden NFL 08","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1840","Madden NFL 09","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1841","NBA Live 09","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1842","Dragon Ball: Xenoverse 2","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1843","Dynasty Warriors 6","Tecmo Koei","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1844","NCAA Football 09","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1845","Doom 3: Resurrection of Evil","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1846","SSX","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1847","Dragon Quest Swords: The Masked Queen and the Tower of Mirrors","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1848","Two Worlds","SouthPeak Games","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"1849","Tony Hawk's Underground","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1850","Spider-Man 2","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1851","NCAA Football 08","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1852","Skylanders: Trap Team","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1853","Star Wars: Obi-Wan","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"1854","Ace Attorney Investigations: Miles Edgeworth","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1855","Kill.Switch","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1856","Catherine","Deep Silver","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1857","SplashDown","Atari","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1858","Jade Empire","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1859","Infinite Undiscovery","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1860","Lego Star Wars: The Force Awakens","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1861","NHL 12","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1862","Advance Wars","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1863","NASCAR 2001","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1864","Mafia","Illusion Softworks","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1865","Ape Escape: On the Loose","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1866","Mobile Suit Gundam: Journey to Jaburo","Namco Bandai Games","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"1867","MLB 08: The Show","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1868","TimeSplitters 2","Eidos Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1869","Omerta: City of Gangsters","Konami Digital Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"1870","Driver: San Francisco","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1871","Classic NES Series: Zelda II: The Adventure of Link","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1872","James Bond 007: Blood Stone","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1873","Metal Gear Solid: Portable Ops Plus","Konami Digital Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1874","LEGO Rock Band","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1875","Halo 2 Multiplayer Map Pack","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1876","Mortal Kombat: Shaolin Monks","Midway Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1877","MotionSports","Ubisoft","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"1878","MX vs. ATV Unleashed: On the Edge","THQ","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1879","Mario Pinball Land","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1880","Dragon Ball Z: Budokai","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1881","Plants vs. Zombies: Garden Warfare","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1882","Need for Speed Rivals","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1883","The Sims 2: Apartment Pets","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"1884","Harry Potter and the Chamber of Secrets","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1885","Prince of Persia: The Forgotten Sands","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1886","The Lord of the Rings: The Return of the King","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1887","The Sims: Medieval","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1888","Top Spin 4","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1889","Baldur's Gate: Dark Alliance II","Interplay","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1890","Shark Tale","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1891","IL-2 Sturmovik: Birds of Prey","505 Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1892","Test Drive Unlimited 2","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1893","NBA Street Vol. 2","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1894","MX vs. ATV Untamed","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1895","The Last Remnant","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1896","NCAA Football 2005","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1897","The Sly Collection","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1898","Naruto: Clash of Ninja","Tomy Corporation","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1899","Sniper Elite 3","505 Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1900","Prince of Persia: The Two Thrones","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1901","Hot Shots Golf: Open Tee 2","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1902","Suikoden II","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1903","Iron Man","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1904","FIFA Soccer 06","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1905","Fight Night 2004","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1906",".hack//Mutation Part 2","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1907","Wolfenstein: The New Order","Bethesda Softworks","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1908","Cars: Mater-National Championship","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1909","Kirby's Dream Collection: Special Edition","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1910","Return to Castle Wolfenstein: Tides of War","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1911","RIFT","Unknown","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1912","Spider-Man 3","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1913","Mass Effect","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1914","The Evil Within","Bethesda Softworks","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1915","Armored Core 3","Metro 3D","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1916","Star Wars: Republic Commando","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1917","The LEGO Movie Videogame","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1918","Turok","Touchstone","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"1919","Terraria","505 Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1920","Red Steel","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1921","Unreal Tournament III","Midway Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1922","Fossil Fighters: Champions","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1923","The Sims 3","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1924","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","Disney Interactive Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1925","NFL Street","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1926","Final Fantasy Crystal Chronicles: Ring of Fates","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1927","Bakugan: Battle Brawlers","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1928","Blazing Angels: Squadrons of WWII","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1929","WWE SmackDown vs. RAW 2007","THQ","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1930","F1 2015","Codemasters","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1931","Tony Hawk's Proving Ground","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1932","The Darkness","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1933","MLB 2004","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1934","Darkstone","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"1935","NCAA March Madness 2003","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1936","Thrillville","Atari","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"1937","Castlevania: Lords of Shadow","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1938","NHL 10","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1939","Street Fighter Anniversary Collection","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1940","NHL 13","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1941","Napoleon: Total War","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1942","Rayman Legends","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1943","The Sims: Bustin' Out","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1944","BioShock Infinite","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1945","Ratatouille","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1946","Lollipop Chainsaw","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1947","Tom Clancy's EndWar","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1948","Shrek: Hassle at the Castle","TDK Mediactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1949","Suikoden IV","Konami Digital Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1950","Gods Eater Burst","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1951","Fist of the North Star: Ken's Rage","Ubisoft Annecy","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1952","One Piece: Pirate Warriors 2","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1953","Brothers In Arms: Road to Hill 30","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1954","LEGO Jurassic World","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1955","Kung Fu Panda","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1956","Freedom Wars","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1957","Shaun White Snowboarding","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1958","Radiata Stories","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1959","F-Zero GX","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1960","Disney's Chicken Little","Disney Interactive Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"1961","Scene It? Box Office Smash","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1962","Yoshi Topsy-Turvy","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1963","Monster Jam: Maximum Destruction","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"1964","Tiger Woods PGA Tour 09","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1965","Mortal Kombat","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1966","Tiger Woods PGA Tour 09","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1967","Advance Wars 2: Black Hole Rising","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1968","Wario: Master of Disguise","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1969","The Last Story","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1970","Drakengard","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1971","Champions: Return to Arms","Sony Online Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1972","Harry Potter and the Goblet of Fire","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1973","Tiger Woods PGA Tour 10","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1974","007: Quantum of Solace","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1975","Farming Simulator 17","Focus Home Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1976","Borderlands 2","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1977","Crash Bandicoot Purple: Ripto's Rampage","Vivendi Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1978","Assassin's Creed IV: Black Flag","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1979","Need For Speed: Undercover","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1980","Spyro: A Hero's Tail","Vivendi Games","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1981","Crash: Twinsanity","Vivendi Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1982","The LEGO Movie Videogame","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1983","Max Payne 2: The Fall of Max Payne","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1984","Drawn to Life: The Next Chapter","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1985","GoldenEye: Rogue Agent","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1986","WWE 2K15","Take-Two Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"1987","Star Ocean: First Departure","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1988","James Bond 007: Everything or Nothing","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1989","X2: Wolverine's Revenge","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"1990","NBA Live 06","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1991","Rayman 3D","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1992","Football Manager 2014","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"1993","TimeSplitters 2","Eidos Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1994","Onimusha: Dawn of Dreams","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"1995","Sengoku Basara: Samurai Heroes","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1996","Stuntman: Ignition","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"1997","Real Heroes: Firefighter","Rondomedia","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"1998","Dishonored 2","Bethesda Softworks","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"1999","The Crew","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2000","Dragon Ball: Raging Blast 2","Namco Bandai Games","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2001","NHL 13","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2002","Dead or Alive 5","Tecmo Koei","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2003","Evolve","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2004","Lemony Snicket's A Series of Unfortunate Events","Activision","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2005","Lost Planet: Extreme Condition","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2006","X-Men Legends II: Rise of Apocalypse","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2007","LEGO Star Wars II: The Original Trilogy","LucasArts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2008","Rock Band 3","MTV Games","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2009","Dragon Age II","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"2010","Tony Hawk's Pro Skater 2x","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2011","NBA Live 08","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2012","FIFA Soccer 2003","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"2013","The Lord of the Rings: Conquest","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2014","Far Cry 4","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2015","NASCAR 06: Total Team Control","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2016","Iron Man","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2017","White Knight Chronicles II","Sony Computer Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"2018","Juiced 2: Hot Import Nights","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2019","Wolfenstein","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2020","The Walking Dead: Survival Instinct","Activision","Puntajes Cr?ticos bajo","Puntajes usuarios bajo"
"2021","The Sims 3: Generations","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"2022","Ape Escape 2","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2023","Sega Rally Revo","Sega","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2024","Shin Megami Tensei: Persona 3 FES","Tecmo Koei","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"2025","FIFA Soccer 2002","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"2026","Angry Birds Trilogy","Activision","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"2027","Condemned 2: Bloodshot","Sega","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"2028","Okami","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
